主要违法违规事实（案由）,作出处罚决定的日期,作出处罚决定的机关名称,处罚个人单位,处罚个人姓名,处罚单位名称,处罚单位法定代表人（主要负责人）姓名,行政处罚依据,行政处罚决定,行政处罚决定书文号
发放个人贷款后未采取有效方式对贷款资金使用进行跟踪检查和监管分析，对借款人违背合同约定的行为应发现而未发现，违反了《个人贷款管理暂行办法》第三十五条及第三十七条的规定。,2017年8月10日,中国银行业监督管理委员会海南监管局,null,——,海口农村商业银行股份有限公司,吴敏,《中华人民共和国银行业监督管理法》第四十六条第五款。,罚款人民币二十五万元,琼银监罚〔2017〕29号
向借款人发放个人贷款“三查”不尽职，违反了《个人贷款管理暂行办法》第十三条、第十八条、第三十一条及第三十五条的规定。,2017年8月10日,中国银行业监督管理委员会海南监管局,null,——,中信银行股份有限公司海口分行,何永红,《中华人民共和国银行业监督管理法》第四十六条第五款。,罚款人民币二十五万元,琼银监罚〔2017〕28号
当事人存在发放个人贷款后未采取有效方式对贷款资金使用进行跟踪检查和监管分析、对借款人违背合同约定的行为应发现而未发现的违法行为，违反了《个人贷款管理暂行办法》第三十五条、第三十七条的规定。,2017年08月10日,中国银行业监督管理委员会海南监管局,null,-----,海口农村商业银行股份有限公司,"吴敏
 ",根据《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十六条、第四十八条规定。,给予当事人罚款人民币二十五万元的行政处罚,  琼银监罚〔2017〕29号
"当事人存在向借款人发放个人贷款“三查”不尽职的违法行为,违反了《个人贷款管理暂行办法》第十三条、第十八条、第三十一条和第三十五条的规定。",2017年08月10日,中国银行业监督管理委员会海南监管局,null,-----,中信银行股份有限公司海口分行,何永红,《个人贷款管理暂行办法》第四十二条以及《中华人民共和国银行业监督管理法》第四十六条和第四十八条的规定。,给予当事人罚款人民币二十五万元的行政处罚,  琼银监罚〔2017〕28号
未按规定对风险资产进行分类，通过卖出回购减少计提资产减值准备，虚增利润的违法行为，违反了《中华人民共和国银行业监督管理法》第二十一条的规定。,2017年7月13日,中国银行业监督管理委员会海南监管局,null,——,中国东方资产管理股份有限公司海南省分公司,林海,《《中华人民共和国银行业监督管理法》第四十六条第五款,罚款人民币三十万元,琼银监罚〔2017〕23号
当事人未有效跟踪监督贷款使用情况，导致信贷资金被挪用的违法行为，违反了《固定资产贷款管理暂行办法》第七条、第二十二条及第二十六条的规定。,2017年6月2日,中国银行业监督管理委员会海南监管局,null,——,儋州市农村信用合作联社,钟捷锦,《《中华人民共和国银行业监督管理法》第四十六条第五款,罚款人民币三十五万元,琼银监罚〔2017〕22号
当事人违反同一借款人贷款比例规定发放贷款的违法行为，违反了《中华人民共和国商业银行法》第三十九条的规定。,2017年6月2日,中国银行业监督管理委员会海南监管局,null,王咸仁,——,——,《中华人民共和国银行业监督管理法》第四十八条第二款,给予警告的行政处罚,琼银监罚〔2017〕21号
当事人未有效跟踪监督贷款使用情况，导致信贷资金被挪用的违法行为，违反了《固定资产贷款管理暂行办法》第七条、第二十二条及第二十六条的规定。,2017年6月2日,中国银行业监督管理委员会海南监管局,null,蒲德荣,——,——,《中华人民共和国银行业监督管理法》第四十八条第二款,给予警告的行政处罚,琼银监罚〔2017〕20号
当事人未有效跟踪监督贷款使用情况，导致信贷资金被挪用的违法行为，违反了《固定资产贷款管理暂行办法》第七条、第二十二条及第二十六条的规定。,2017年6月2日,中国银行业监督管理委员会海南监管局,null,羊锦兴,——,——,《中华人民共和国银行业监督管理法》第四十八条第二款,给予警告的行政处罚,琼银监罚〔2017〕19号
当事人违反同一借款人贷款比例规定发放贷款的违法行为，违反了《中华人民共和国商业银行法》第三十九条的规定。,2017年6月2日,中国银行业监督管理委员会海南监管局,null,——,定安县农村信用合作联社,陈武达,《中华人民共和国商业银行法》第七十五条第三款,罚款人民币三十万元,琼银监罚〔2017〕18号
当事人违反同一借款人贷款比例规定发放贷款的违法行为，违反了《中华人民共和国商业银行法》第三十九条的规定。,2017年6月2日,中国银行业监督管理委员会海南监管局,null,——,陵水黎族自治县农村信用合作联社,蒲为寿,《中华人民共和国商业银行法》第七十五条第三款,罚款人民币三十万元,琼银监罚〔2017〕17号
当事人存在贷后管理不到位、未发现借款人违反合同约定行为导致贷款资金被挪用的违法行为，违反了《个人贷款管理暂行办法》第三十五条、第三十七条和《贷款通则》第三十一条的规定。,2017年5月10日,中国银行业监督管理委员会海南监管局,null,-----,中国邮政储蓄银行股份有限公司海南省分行,李斌,《中华人民共和国银行业监督管理法》第四十六条第五款的规定。,给予当事人人民币二十五万元的行政处罚,琼银监罚〔2017〕9号
当事人在办理信用卡业务中履职不到位，未认真履行资信核查人员职责，致使客户凭借虚假财力证明材料办理信用卡的违法行为，违反了《商业银行信用卡业务监督管理办法》第四十一条的规定。,2017年5月2日,中国银行业监督管理委员会海南监管局,null,吴奇柏,-----,-----,《中华人民共和国银行业监督管理法》第四十八条第二款的规定。,给予当事人警告的行政处罚,  琼银监罚〔2017〕8号
当事人存在内控管理制度执行不到位，致使客户凭借虚假财力证明材料办理信用卡的违法行为，违反了《商业银行信用卡业务监督管理办法》第四十一条和第九十一条的规定。,2017年5月2日,中国银行业监督管理委员会海南监管局,null,-----,中国银行股份有限公司海南省分行,常冰雁,《中华人民共和国银行业监督管理法》第四十六条第五款的规定。,给予当事人人民币三十万元的行政处罚,琼银监罚〔2017〕7号
当事人存在贷款“三查”不尽职的违法行为，违反了《个人贷款管理暂行办法》第十三条和《贷款通则》第二十七条、第三十一条的规定。,2017年2月20日,中国银行业监督管理委员会海南监管局,null,罗华,———,———,《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十八条第二款。,给予警告的行政处罚,琼银监罚〔2017〕3号
当事人存在贷款“三查”不尽职的违法行为，违反了《个人贷款管理暂行办法》第十三条和《贷款通则》第二十七条、第三十一条的规定。,2017年2月20日,中国银行业监督管理委员会海南监管局,null,王乔樟,———,———,《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十八条第二款。,给予警告的行政处罚,琼银监罚〔2017〕2号
当事人存在贷款“三查”不尽职的违法行为，违反了《个人贷款管理暂行办法》第十三条和《贷款通则》第二十七条、第三十一条的规定。,2017年2月20日,中国银行业监督管理委员会海南监管局,null,郭远晴,———,———,《个人贷款管理暂行办法》第四十二条和《中华人民共和国银行业监督管理法》第四十八条第二款。,给予警告的行政处罚,琼银监罚〔2017〕1号
当事人在服务收费过程中存在质价不符的违法行为，违反了《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）的规定。,2016年12月30日,中国银行业监督管理委员会海南监管局,null,-----,中国工商银行股份有限公司海南省分行,胡晔,《中华人民共和国银行业监督管理法》第四十六条第五款和《中国银监会关于进一步推进银行业不规范经营专项治理的通知》（银监发〔2012〕15号）的规定。,给予当事人人民币二十万元的行政处罚,  琼银监罚〔2016〕7号
