主要违法违规事实（案由）,作出处罚决定的日期,作出处罚决定的机关名称,处罚个人单位,处罚个人姓名,处罚单位名称,处罚单位法定代表人（主要负责人）姓名,行政处罚依据,行政处罚决定,行政处罚决定书文号
银行承兑汇票业务贸易背景真实性审核不尽职，签发贸易背景不真实的银行承兑汇票。,2017年6月29日,大连银监局,null,,阜新银行股份有限公司大连分行,霍忠明,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）；《中国银监会办公厅关于票据业务风险提示的通知》（银监办发〔2015〕203号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕12号
贷后管理及贷前保证金来源调查未尽职，导致贷款资金被挪用，转存保证金和定期存款作质押开立银行承兑汇票。,2017年6月2日,大连银监局,null,,中国光大银行股份有限公司大连分行,谭翊武,《固定资产贷款管理暂行办法》（银监会令2009年第2号）第七条；《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第30条；《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）第一条；《中国银监会办公厅关于加强商业银行存款偏离度管理有关事项的通知》（银监办发〔2014〕236号）第二条 ；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕11号
重复使用和临时替换票据贴现增值税发票复印件，对票据贴现业务贸易背景审查不尽职。,2017年6月1日,大连银监局,null,,中国工商银行股份有限公司大连市分行,迟维君,《商业银行授信工作尽职指引》（银监发[2004]51号）第十五条；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）；《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会办公厅关于票据业务风险提示的通知》（银监办发〔2015〕203号）；《中国人民银行中国银行业监督管理委员会关于加强票据业务监管促进票据市场健康发展的通知》（银发〔2016〕126号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕10号
贷后管理未尽职，短期形成不良贷款。,2017年6月1日,大连银监局,null,,中国工商银行股份有限公司大连市分行,迟维君,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第三十条；《商业银行授信工作尽职指引》（银监发[2004]51号）第四十一条、第四十三条；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕9号
授信管理不严格，办理无真实贸易背景银行承兑汇票业务。,2017年6月2日,大连银监局,null,,大连甘井子浦发村镇银行股份有限公司,董军,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）；《中国银监会办公厅关于票据业务风险提示的通知》（银监办发〔２０１５〕２０３号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕8号
以贷转存质押再贷款虚增存贷款规模。,2017年6月1日,大连银监局,null,,锦州银行股份有限公司大连市分行,路思伟,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第第三十条；《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）；《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发〔2009〕221号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕7号
以贷还贷、以贷收息掩盖风险。,2017年6月1日,大连银监局,null,,锦州银行股份有限公司大连分行,路思伟,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第三十条；《中国银监会关于银行业服务实体经济的指导意见》（银监发〔2013〕9号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕6号
贷后资金监控不到位，导致贷款被挪用。,2017年6月1日,大连银监局,null,,中国建设银行股份有限公司大连市分行,张喜军,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第二十七条、第三十条；《中国银监会关于银行业服务实体经济的指导意见》（银监发〔2013〕9号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大银监罚决字〔2017〕5号
贷后管理不到位，导致个人消费贷款被挪用，承担管理责任。,2017年6月1日,大连银监局,null,关瑜,,,《个人贷款管理暂行办法》（银监会令2010年第2号）第三十四条、第三十五条、第四十二条；《中国银行业监督管理委员会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》（银监发〔2006〕第97号）；《中华人民共和国银行业监督管理法》第四十八条。,警告,大银监罚决字〔2017〕4号
贷后管理不到位，导致个人消费贷款被挪用，承担直接责任。,2017年6月1日,大连银监局,null,李龙旭,,,《个人贷款管理暂行办法》（银监会令2010年第2号）第三十四条、第三十五条、第四十二条；《中国银行业监督管理委员会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》（银监发〔2006〕第97号）；《中华人民共和国银行业监督管理法》第四十八条。,警告,大银监罚决字〔2017〕3号
贷后管理不到位，导致个人消费贷款被挪用。,2017年6月1日,大连银监局,null,,友利银行（中国）股份有限公司大连分行,吴在一,《个人贷款管理暂行办法》（银监会令2010年第2号）第三十四条、第三十五条、第四十二条；《中国银行业监督管理委员会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》（银监发〔2006〕第97号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大银监罚决字〔2017〕2号
授信管理不严格，办理无真实贸易背景银行承兑汇票业务。,2017年3月29日,大连银监局,null,,兴业银行股份有限公司大连分行,孟军,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）、《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）、《商业汇票承兑、贴现与再贴现管理暂行办法》（银发[1997]216号）、《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大银监罚决字[ 2017]1号
未对某公司等7户企业进行集团客户统一授信管理。,2016年12月22日,大连银监局,null,,盛京银行股份有限公司大连分行,张允,《商业银行集团客户授信业务风险管理指引》（银监会令〔2010〕4号）第三条、第六条第一款；《中国银监会办公厅关于集团客户授信风险提示的通知》（银监办发〔2015〕181号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大银监罚决字[ 2016]6号
贷款资金转保证金、转定期存单质押用于开立银行承兑汇票。,2016年12月22日,大连银监局,null,,盛京银行股份有限公司大连分行,张允,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）、《中国银监会办公厅关于防范融资中介非法介入银行信贷业务的通知》(银监办发〔2012〕137号)、《中华人民共和国银行业监督管理法》第四十六条。,罚款二十万元人民币,大银监罚决字[ 2016]5号
